,Authorship Pattern,Female Proportion (%),# of publications,,,,,,,,,,,,,,,,,,,
0,1,18.96,12677,,,,,,,,,,,,,,,,,,,
1,2,19.42,30162,,,,,,,,,,,,,,,,,,,
2,3,19.51,40615,,,,,,,,,,,,,,,,,,,
3,4,19.45,39043,,,,,,,,,,,,,,,,,,,
4,5,19.52,28284,,,,,,,,,,,,,,,,,,,
5,6,19.66,20371,,,,,,,,,,,,,,,,,,,
6,7,19.54,11858,,,,,,,,,,,,,,,,,,,
7,8,19.08,7948,,,Authorship Pattern,1,2,3,4,5,6,7,8,9,10,11,12,,,,
8,9,18.22,4934,,,Female Proportion (%),18.96,19.42,19.51,19.45,19.52,19.66,19.54,19.08,18.22,19.33,18.11,22.12,,,,
9,10,19.33,3319,,,# of publications,30162,39043,7948,20371,40615,28284,12677,11858,4934,3319,1788,1163,,,,
10,11,18.11,1788,,,,,,,,,,,,,,,,,,,
11,12,22.12,1163,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Authorship Pattern,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,
,Female Proportion (%),18.96,19.42,19.51,19.45,19.52,19.66,19.54,19.08,18.22,19.33,18.11,22.12,,,,,,,,,
,# of publications,12677,30162,40615,39043,28284,20371,11858,7948,4934,3319,1788,1163,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,# of publications,30162,39043,7948,20371,40615,28284,12677,11858,4934,3319,1788,1163
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Authorship Pattern,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,
,Female Proportion (%),18.96,19.42,19.51,19.45,19.52,19.66,19.54,19.08,18.22,19.33,18.11,22.12,,,,,,,,,
,# of publications,30162,39043,7948,20371,40615,28284,12677,11858,4934,3319,1788,1163,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Authorship Pattern,1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,,,,,Female Proportion (%),18.96,19.42,19.51,19.45,19.52,19.66,19.54,19.08,18.22,19.33,18.11,22.12,,,,
,,,,,,# of publications,30162,39043,7948,20371,40615,28284,12677,11858,4934,3319,1788,1163,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Authorship Pattern,1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,,,,,Female Proportion (%),18.96,19.42,19.51,19.45,19.52,19.66,19.54,19.08,18.22,19.33,18.11,22.12,,,,
,,,,,,# of publications,12677,30162,40615,39043,28284,20371,11858,7948,4934,3319,1788,1163,,,,
