,Year,papercount,female,Male ,Proportion ,,,,,,,,,,,,,,,
0,1950,0,0,0,0,,,,,,,,,,,,,,,
1,1960,179,30,166,18.07,,,,,,,,,,,,,,,
2,1970,562,98,553,17.72,,,,,,,,,,,,,,,
3,1980,1271,227,1230,18.46,,,,,,,,,,,,,,,
4,1990,2456,472,2471,19.1,,,,,,,,,,,,,,,
5,2000,7335,1485,7876,18.85,,,,,,,,,,,,,,,
6,2010,29982,7385,38098,19.38,,,,,,,,,,,,,,,
,2020,132165,38610,198084,19.49,,,,,,,,,,,,,,,
,,173950,48307,248478,0.194411578,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,179,166,30,18.07,,,,,,,,,,,,,,,
,,562,553,98,17.72,,,,,,,,,,,,,,,
,,1271,1230,227,18.46,,,,,,,,,,,,,,,
,,2456,2471,472,19.1,,,,,,,,,,,,,,,
,,7335,7876,1485,18.85,,,,,,,,,,,,,,,
,,29982,38098,7385,19.38,,,,,,,,,,,,,,,
,,132165,198084,38610,19.49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,`
