,Subject,papercount,Male ,female,Proportion ,,,,,
0,Agriculture,31323,50329,9800,19.47,,,,,
1,Chemistry,14255,21666,4130,19.06,,,Subject,Male ,female
2,Immunology,2382,3608,653,18.1,,,AGRI,50329,9800
3,Medicine,39867,60088,11643,19.38,,,,,
4,Dentistry,388,539,114,21.15,,,,,
5,Math,6686,8031,1536,19.13,,,,,
6,Engineering,14961,19247,3744,19.45,,,,,
7,Biochemistry,13771,20213,3951,19.55,,,,,
8,Arts,1874,2331,488,20.94,,,,,
9,Computer Science,25264,32772,6413,19.57,,,,,
10,Veternary,898,1773,324,18.27,,,,,
11,Physics,7308,9292,1853,19.94,,,,,
12,Energy,4290,5514,1041,18.88,,,,,
13,Pharmacy,4791,9257,1822,19.68,,,,,
14,Materials Science,3789,5559,1093,19.66,,,,,
15,Chemical Engineering,6988,9487,1883,19.85,,,,,
16,Earth,4223,5218,981,18.8,,,,,
17,Environment,4748,7002,1366,19.51,,,,,
18,Business,4829,6236,1275,20.45,,,,,
19,Sociology,3666,4624,843,18.23,,,,,
20,Multidisciplinary,3947,5449,1057,19.4,,,,,
21,Economics,1682,2042,411,20.13,,,,,
22,Decision Sciences,653,864,152,17.59,,,,,
23,Nursing,1426,1806,364,20.16,,,,,
24,Health,602,952,164,17.23,,,,,
25,Psychology,619,745,161,21.61,,,,,
26,undefined,112,166,37,22.29,,,,,
27,Neurology,290,341,63,18.48,,,,,
