#,University,Region,Sector,Score
1,"Abasyn University, Peshawar",KPK,Private,64.29%
2,"Abbottabad University of Science & Technology, Abbottabad",KPK,Public,17.89%
3,"Abdul Wali Khan University, Mardan",KPK,Public,56.02%
4,"Aga Khan University, Karachi",Sindh,Private,100%
5,"Air University",Federal,Public,76.79%
6,"Al-Hamd Islamic University, Quetta",Balochistan,Private,61.16%
7,"Bahauddin Zakariya University, Multan",Punjab,Public,39.29%
8,"Bahria University",Federal,Public,64.24%
9,"Balochistan University of Engineering & Technology, Khuzdar",Balochistan,Public,68.75%
10,"Balochistan University of Information Technology, Engineering & Management Sciences, Quetta",Balochistan,Public,64.29%
11,"Baqai Medical University, Karachi",Sindh,Private,81.25%
12,"Barrett Hodgson University,Karachi",Sindh,Private,73.66%
13,"Beaconhouse National University, Lahore",Punjab,Private,73.66%
14,"Benazir Bhutto Shaheed University Lyari, Karachi",Sindh,Public,43.75%
15,"CECOS University of Information Technology & Emerging Sciences, Peshawar",KPK,Private,67.41%
16,"COMSATS Institute of Information Technology",Federal,Public,70.54%
17,"Capital University of Science & Technology, Islamabad",Federal,Public,100%
18,"City University of Science & Information Technology, Peshawar",KPK,Private,43.75%
19,"DHA Suffa University, Karachi",Sindh,Private,87.5%
20,"DOW University of Health Sciences, Karachi",Sindh,Public,91.43%
21,"Dadabhoy Institute of Higher Education, Karachi",Sindh,Private,94.64%
22,"Dawood University of Engineering & Technology, Karachi",Sindh,Public,73.66%
23,"Fatima Jinnah Medical University, Lahore",Punjab,Public,47.34%
24,"Fatima Jinnah Women University, Rawalpindi",Punjab,Public,50.45%
25,"Federal Urdu University of Arts, Sciences & Technology, Islamabad",Federal,Public,59.29%
26,"Forman Christian College University, Lahore",Punjab,Private,51.79%
27,"Foundation University, Islamabad",Federal,Private,46.43%
28,"GIFT University, Gujranwala",Punjab,Private,64.29%
29,"Ghazi University, Dera Ghazi Khan",Punjab,Public,42.41%
30,"Ghulam Ishaq Khan Institute of Engineering Sciences & Technology, Swabi",KPK,Private,50%
31,"Government College University, Faisalabad",Punjab,Public,41.96%
32,"Government College University, Hyderabad",Sindh,Public,28.13%
33,"Government College University, Lahore",Punjab,Public,41.86%
34,"Government College Women University, Faisalabad",Punjab,Public,42.41%
35,"Government College for Women University, Sialkot",Punjab,Public,33.04%
36,"Government Sadiq College Women University, Bahawalpur",Punjab,Public,58.04%
37,"Greenwich University, Karachi",Sindh,Private,64.29%
38,"HITEC University, Taxila",Punjab,Private,73.66%
39,"Hajvery University, Lahore",Punjab,Private,76.79%
40,"Hamdard University, Karachi",Sindh,Private,76.79%
41,"Hazara University, Mansehra",KPK,Public,76.58%
42,"Imperial College of Business Studies, Lahore",Punjab,Private,30.36%
43,"Indus University, Karachi",Sindh,Private,67.25%
44,"Information Technology University of the Punjab",Punjab,Public,45.54%
45,"Institute of Business Administration, Karachi",Sindh,Public,56.25%
46,"Institute of Business Management, Karachi",Sindh,Private,89.29%
47,"Institute of Management Sciences, Lahore",Punjab,Private,51.79%
48,"Institute of Management Sciences, Peshawar",KPK,Public,57.59%
49,"Institute of Space Technology, Islamabad",Federal,Public,70.46%
50,"International Islamic University, Islamabad",Federal,Public,77.37%
51,"Iqra National University, Peshawar",KPK,Private,76.79%
52,"Iqra University, Karachi",Sindh,Private,89.29%
53,"Islamia College University, Peshawar",KPK,Public,48.28%
54,"Islamia University, Bahawalpur",Punjab,Public,58.04%
55,"Isra University, Hyderabad",Sindh,Private,38.52%
56,"Jinnah Sindh Medical University",Sindh,Public,46.88%
57,"Jinnah University for Women, Karachi",Sindh,Private,45.37%
58,"KASB Institute of Technology, Karachi",Sindh,Private,65.63%
59,"Karachi Institute of Economics & Technology, Karachi",Sindh,Private,100%
60,"Karakurum International University, Gilgit",GB,Public,76.79%
61,"Khushal Khan Khattak University, Karak",KPK,Public,58.04%
62,"Khwaja Fareed University of Engineering and Information Technology (KFUEIT), Rahim Yar Khan",Punjab,Public,51.79%
63,"King Edward Medical University, Lahore",Punjab,Public,70.54%
64,"Kinnaird College for Women, Lahore",Punjab,Public,64.29%
65,"Kohat University of Science & Technology, Kohat",KPK,Public,37.05%
66,"Lahore College for Women University, Lahore",Punjab,Public,67.86%
67,"Lahore Garrison University, Lahore",Punjab,Public,76.79%
68,"Lahore Leads University, Lahore",Punjab,Private,76.79%
69,"Lahore School of Economics, Lahore",Punjab,Private,50%
70,"Mehran University of Engineering & Technology, Jamshoro",Sindh,Public,26.79%
71,"Minhaj University, Lahore",Punjab,Private,64.29%
72,"Mirpur University of Science & Technology, Mirpur",AJ&K,Public,59.3%
73,"Mohammad Ali Jinnah University, Karachi",Sindh,Private,87.35%
74,"Mohi-ud-Din Islamic University, Nerian Sharif",AJ&K,Private,50%
75,"Muhammad Nawaz Shareef University of Agriculture, Multan",Punjab,Public,48.13%
76,"Muhammad Nawaz Sharif University of  Engineering & Technology, Multan",Punjab,Public,50%
77,"Muslim Youth University, Islamabad",Federal,Public,79.46%
78,"NED University of Engineering & Technology, Karachi",Sindh,Public,73.66%
79,"NFC Institute of Engineering & Technology, Multan",Punjab,Public,51.79%
80,"National College of Arts, Lahore",Punjab,Public,81.25%
81,"National College of Business Administration & Economics, Lahore",Punjab,Private,51.79%
82,"National Defense University, Islamabad",Federal,Public,64.29%
83,"National Textile University, Faisalabad",Punjab,Public,54.91%
84,"National University of Computer & Emerging Sciences, Islamabad",Federal,Private,51.79%
85,"National University of Medical Sciences, Rawalpindi",Punjab,Public,36.54%
86,"National University of Modern Languages, Islamabad",Federal,Public,45.18%
87,"National University of Sciences & Technology, Islamabad",Federal,Public,75%
88,"National University of Technology, Islamabad",Federal,Public,50%
89,"Newport Institute of Communications & Economics, Karachi",Sindh,Private,76.82%
90,"Northern University, Nowshera",KPK,Private,39.29%
91,"Nur International University, Lahore",Punjab,Public,51.79%
92,"Pakistan Institute of Development Economics, Islamabad",Federal,Public,51.79%
93,"Pakistan Institute of Engineering & Applied Sciences, Islamabad",Federal,Public,40.18%
94,"Pakistan Institute of Fashion & Design, Lahore",Punjab,Public,73.76%
95,"Peoples University of Medical & Health Sciences for Women, Nawabshah",Sindh,Public,40.63%
96,"Pir Mehr Ali Shah Arid Agriculture University, Rawalpindi",Punjab,Public,51.79%
97,"Preston University, Kohat",KPK,Private,43.75%
98,"Qarshi University",Punjab,Private,76.79%
99,"Quaid-e-Awam University of Engineering, Sciences & Technology, Nawabshah",Sindh,Public,64.29%
100,"Quaid-i-Azam University, Islamabad",Federal,Public,39.29%
