Sr.No,Name of  University,Province,Sector,Male,Female,Grand Total
1,"Abasyn University, Peshawar",Khyber Pakhtunkhwa,Private,3134,406,3540
2,Abbottabad University of Science & ,Khyber Pakhtunkhwa,Public,2354,797,3151
3,"Abdul Wali Khan University, Mardan",Khyber Pakhtunkhwa,Public,7662,2257,9919
4,"Aga Khan University, Karachi",Sindh,Private,439,1010,1449
5,"Air University, Islamabad",Federal,Public,3199,1331,4530
6,"Al Hamd Islamic University, Quetta",Balochistan,Private,484,108,592
7,"Ali Institute of Education, Lahore",Punjab,Private,3,62,65
8,"Allama Iqbal Open University, Islamabad",Federal,Public,196699,231299,427998
9,"Bacha Khan University, Charsadda",Khyber Pakhtunkhwa,Public,2520,329,2849
10,"Bahauddin Zakariya University, Multan",Punjab,Public,16088,12128,28216
11,"Bahria University, Islamabad",Federal,Public,10801,5673,16474
12,"Balochistan University of Engineering & Technology, Khuzdar.",Balochistan,Public,1261,46,1307
14,"Baqai Medical University, Karachi",Sindh,Private,648,1015,1663
15,"Barrett Hodgson University, Karachi",Sindh,Private,5,12,17
16,"Beaconhouse National University, Lahore",Punjab,Private,1275,1038,2313
17,"Benazir Bhutto Shaheed University, Lyari ",Sindh,Public,1257,618,1875
18,"Capital University of Science & Technology, ",Federal,Private,3405,934,4339
19,CECOS University of IT & Emerging ,Khyber Pakhtunkhwa,Private,3572,156,3728
20,City University of Science & Information ,Khyber Pakhtunkhwa,Private,1649,250,1899
21,COMMECS Institute of Business & ,Sindh,Private,95,14,109
22,"COMSATS University, Islamabad",Federal,Public,20995,13106,34101
23,"Dadabhoy Institute of Higher Education, ",Sindh,Private,590,332,922
24,Dawood University of Engineering & ,Sindh,Public,1787,253,2040
25,"DHA Suffa University, Karachi",Sindh,Private,1302,249,1551
26,"Dow University of Health Sciences, Karachi",Sindh,Public,1956,5732,7688
27,"FATA University, Kohat",Khyber Pakhtunkhwa,Public,256,0,256
28,"Fatima Jinnah Medical University, Lahore",Punjab,Public,0,300,300
29,"Fatima Jinnah Women University, Lahore",Punjab,Public,0,4209,4209
30,"Federal Urdu University of Arts, Science and Technology, Karachi",Sindh,Public,9759,5329,15088
31,"Forman Christian College, Lahore",Punjab,Private,2626,1703,4329
32,"Foundation University, Islamabad",Federal,Private,2696,3132,5828
33,"Gandhara University, Peshawar",Khyber Pakhtunkhwa,Private,813,775,1588
34,"Ghazi university, D.G.Khan",Punjab,Public,2593,1981,4574
35,Ghulam Ishaq Khan Institute of Engineering ,Khyber Pakhtunkhwa,Private,1722,183,1905
36,"GIFT University, Gujranwala",Punjab,Private,1660,1236,2896
37,"Global Institute, Lahore",Punjab,Private,2075,350,2425
38,"Gomal University, D.I.Khan",Khyber Pakhtunkhwa,Public,4938,1584,6522
39,"Government College University, Faisalabad",Punjab,Public,21037,14556,35593
40,"Government College University, Lahore",Punjab,Public,4995,3927,8922
41,"Government College Women University, ",Punjab,Public,0,10875,10875
42,"Government College Women University, ",Punjab,Public,0,5756,5756
43,Government Sadiq College for Women ,Punjab,Public,0,3267,3267
44,"Greenwich University, Karachi",Sindh,Private,758,297,1055
45,"Habib University, Karachi",Sindh,Private,295,341,636
46,"Hajvery University, Lahore",Punjab,Private,2744,1282,4026
47,"Hamdard University, Karachi",Sindh,Private,2509,1799,4308
48,"Hazara University, Mansehra",Khyber Pakhtunkhwa,Public,6315,2710,9025
49,"HITEC University, Taxila",Punjab,Private,1740,139,1879
50,"Ilma University, Karachi",Sindh,Private,3067,715,3782
51,"Imperial College of Business Studies, ",Punjab,Private,2416,1152,3568
52,"Indus University, Karachi",Sindh,Private,5968,1039,7007
53,Indus Valley School of Art And ,Sindh,Private,120,488,608
54,"Information Technology University, Lahore",Punjab,Public,733,160,893
55,Institute of Arts and Culture Lahore (Newly ,Punjab,Private,0,0,0
56,"Institute of Business Administration, ",Sindh,Public,2431,1353,3784
57,"Institute of Business Management, Karachi",Sindh,Private,3003,1923,4926
58,"Institute of Management Sciences, ",Khyber Pakhtunkhwa,Public,2959,478,3437
59,"Institute of Southern Punjab, Multan",Punjab,Private,5546,2004,7550
60,"Institute of Space Technology, Islamabad",Federal,Public,1083,308,1391
61,"International Islamic University, Islamabad",Federal,Public,15855,15112,30967
62,"Iqra National University, Peshawar",Khyber Pakhtunkhwa,Private,2405,280,2685
63,"Iqra University, Karachi",Sindh,Private,6542,1999,8541
64,"Islamia College, Peshawar",Khyber Pakhtunkhwa,Public,2617,1286,3903
65,"Isra University, Hyderabad",Sindh,Private,2733,2827,5560
66,"Jinnah Sindh Medical University, Karachi",Sindh,Public,809,1980,2789
67,"Jinnah University for Women, Karachi",Sindh,Private,0,5461,5461
68,Karachi Institute of Economics & ,Sindh,Private,3653,1283,4936
69,"Karachi School of Business and Leadership, ",Sindh,Private,64,17,81
70,"Karakoram International University, Gilgit",Gilgit-Baltistan,Public,1834,1939,3773
71,KASB (Khadim Ali Shah Bukhari) Institute of ,Sindh,Private,2080,796,2876
72,"Khushal Khan Khattak University, Karak",Khyber Pakhtunkhwa,Public,929,142,1071
73,Khwaja Fareed University of Engineering ,Punjab,Public,1214,586,1800
74,"Khyber Medical University, Peshawar",Khyber Pakhtunkhwa,Public,1523,1037,2560
75,"King Edward Medical University, Lahore",Punjab,Public,1254,2068,3322
76,"Kinnaird College For Women, Lahore",Punjab,Public,0,3247,3247
77,"Kohat University of Science & Technology, ",Khyber Pakhtunkhwa,Public,2680,820,3500
78,"Lahore College for Women University, ",Punjab,Public,0,11551,11551
79,"Lahore Garrison University, Lahore",Punjab,Private,2438,1410,3848
80,"Lahore Leads University, Lahore",Punjab,Private,1809,480,2289
81,"Lahore School of Economics, Lahore",Punjab,Private,1556,1186,2742
82,Lahore University of Management Sciences ,Punjab,Private,1778,2615,4393
83,"Lasbela University of Agriculture, Water & ",Balochistan,Public,1694,170,1864
84,Liaquat University of Medical & Health ,Sindh,Public,1414,2187,3601
85,Mehran University of Engineering & ,Sindh,Public,6195,1302,7497
86,"Minhaj University, Lahore",Punjab,Private,2371,1956,4327
87,Mirpur University of Science & Technology ,AJK,Public,3136,2158,5294
88,"Mohammad Ali Jinnah University, Karachi",Sindh,Private,2284,624,2908
89,Mohi ud Din Islamic University Nerian ,AJK,Private,1021,1357,2378
90,Muhammad Nawaz Shareef University of ,Punjab,Public,1536,252,1788
91,Muhammad Nawaz Shareef University of ,Punjab,Public,544,19,563
92,"Muslim Youth University, Islamabad",Federal,Private,192,16,208
93,"National College of Arts, Lahore",Punjab,Public,745,836,1581
95,"National Defence University, Islamabad",Federal,Public,1109,571,1680
96,"National Textile University, Faisalabad",Punjab,Public,1917,603,2520
97,National University of Computer & ,Federal,Private,7397,1992,9389
98,"National University of Medical Sciences, ",Punjab,Public,850,1215,2065
99,National University of Modern Languages ,Federal,Public,9131,5903,15034
100,National University of Sciences & ,Federal,Public,11434,4636,16070
101,"National University of Technology, ",Federal,Public,0,0,0
102,"Nazeer Hussain University, Karachi",Sindh,Private,419,241,660
103,NED University of Engineering & ,Sindh,Public,8557,4335,12892
104,Newports Institute of Communication & ,Sindh,Private,3360,503,3863
105,NFC Institute of Engineering and ,Punjab,Public,2801,304,3105
106,"Northern University, Nowshera",Khyber Pakhtunkhwa,Private,1270,560,1830
107,"NUR International University, Lahore",Punjab,Private,54,223,277
108,Pakistan Institute of Development ,Federal,Public,452,236,688
109,Pakistan Institute of Engineering and ,Federal,Public,729,138,867
110,"Pakistan Institute of Fashion and Design, ",Punjab,Public,156,735,891
111,Peoples University of Medical & Health ,Sindh,Public,67,1964,2031
113,Pir Mehr Ali Shah Arid Agriculture ,Punjab,Public,5880,4393,10273
114,"Preston Institute of Management Sciences and Technology, Karachi",Sindh,Private,774,37,811
115,"Preston University, Karachi",Sindh,Private,2649,375,3024
116,"Preston University, Kohat",Khyber Pakhtunkhwa,Private,4721,2119,6840
117,"Qarshi University, Lahore",Punjab,Private,239,95,334
118,"Quaid-e-Awam University of Engineering, ",Sindh,Public,3433,440,3873
119,"Quaid-i-Azam University (QAU), Islamabad",Federal,Public,4922,4949,9871
120,Qurtuba University of Science & ,Khyber Pakhtunkhwa,Private,2343,839,3182
121,"Rawalpindi Medical University, Rawalpindi",Punjab,Public,794,1703,2497
122,"Riphah International University, Islamabad",Federal,Private,6380,6079,12459
123,"Sardar Bahadur Khan Women's University, ",Balochistan,Public,0,4995,4995
124,Sarhad University of Science & Information ,Khyber Pakhtunkhwa,Private,13945,4514,18459
125,"Shah Abdul Latif University (SALU), ",Sindh,Public,11539,2742,14281
126,"Shaheed Benazir Bhutto Dewan University, ",Sindh,Private,76,148,224
127,Shaheed Benazir Bhutto University of ,Sindh,Public,268,41,309
128,"Shaheed Benazir Bhutto University, ",Sindh,Public,1117,586,1703
129,"Shaheed Benazir Bhutto University, ",Khyber Pakhtunkhwa,Public,1837,181,2018
