index,Uni,Province,Sector,Female Non Phda,female phd,Male non Phd,Male phd,Total,,,,,,,,,,
1,"Abasyn University, Peshawar",Khyber Pakhtunkhwa,Private,45,7,153,34,239,,,,,,,,,,
2,"Abbottabad University of Science & Technology, ",Khyber Pakhtunkhwa,Public,24,2,31,27,84,,,,,,,,,,
3,"Abdul Wali Khan University, Mardan",Khyber Pakhtunkhwa,Public,94,13,191,185,483,,,,,,,,,,
4,"Aga Khan University, Karachi",Sindh,Private,265,42,223,32,562,,,,,,,,,,
5,"Air University, Islamabad",Federal,Public,37,20,75,73,205,,,,,,,,,,
6,"Al Hamd Islamic University, Quetta",Balochistan,Private,12,2,27,27,68,,,,,,,,,,
7,"Ali Institute of Education, Lahore",Punjab,Private,9,2,2,0,13,,,,,,,,,,
8,"Allama Iqbal Open University, Islamabad",Federal,Public,37,28,35,82,182,,,,,,,,,,
9,"Bacha Khan University, Charsadda",Khyber Pakhtunkhwa,Public,6,3,34,40,83,,,,,,,,,,
10,"Bahauddin Zakariya University, Multan",Punjab,Public,86,68,167,280,601,,,,,,,,,,
11,"Bahria University, Islamabad",Federal,Public,290,34,333,100,757,,,,,,,,,,
12,"Balochistan University of Engineering & Technology, Khuzdar.",Balochistan,Public,4,0,67,8,79,,,,,,,,,,
13,"Balochistan University of Information Technology, ",Balochistan,Public,166,12,357,93,628,,,,,,,,,,
14,"Baqai Medical University, karachi",Sindh,Private,177,6,181,22,386,,,,,,,,,,
15,"Barrett Hodgson University, Karachi",Sindh,Private,11,8,13,21,53,,,,,,,,,,
16,"Beaconhouse National University, Lahore",Punjab,Private,34,6,39,8,87,,,,,,,,,,
17,"Benazir Bhutto Shaheed University, Lyari Karachi",Sindh,Public,12,2,40,3,57,,,,,,,,,,
18,"Capital University of Science & Technology, Islamabad",Federal,Private,18,7,92,49,166,,,,,,,,,,
19,"CECOS University of IT & Emerging Sciences, Peshawar",Khyber Pakhtunkhwa,Private,16,0,93,30,139,,,,,,,,,,
