,Subject,Male,Female,Female Proportion(%),Male,Female,Female Proportion(%),Male,Female,Female Proportion(%)
0,PHYS,61,17,21.79487179,17,4,19.04761905,4,0,0
1,MATE,1,1,50,0,0,,0,0,
2,AGRI,86,11,11.34020619,5,1,16.66666667,0,0,
3,CHEM,58,16,21.62162162,6,2,25,0,1,100
4,ENGI,12,2,14.28571429,0,0,,0,0,
5,MEDI,48,9,15.78947368,5,2,28.57142857,1,0,0
6,BIOC,29,5,14.70588235,1,2,66.66666667,0,0,
7,CENG,4,1,20,1,1,50,0,0,
8,ENER,8,3,27.27272727,3,0,0,0,0,
9,MULT,18,2,10,1,0,0,0,0,
10,ECON,7,1,12.5,0,0,,0,0,
11,undefined,14,2,12.5,0,0,,0,0,
12,MATH,1,2,66.66666667,1,1,50,0,0,
13,IMMU,10,1,9.090909091,0,0,,0,0,
14,EART,13,1,7.142857143,0,0,,0,0,
15,SOCI,19,1,5,3,0,0,0,0,
16,HEAL,1,2,66.66666667,2,0,0,0,0,
17,PSYC,5,0,0,0,0,,0,0,
18,ENVI,0,0,,0,0,,0,0,
19,ARTS,4,5,55.55555556,1,0,0,0,0,
20,DECI,1,1,50,0,0,,0,0,
21,PHAR,1,0,0,0,0,,0,0,
22,BUSI,1,0,0,0,0,,0,0,
