,Subject,Male (1),female1 (1),1st Authorship,Male (2),female (2),2nd Authorship,Male (3),female (3),3rd Authorship
0,AGRI,12249,2677,17.93514672,8601,1877,17.91372399,4150,890,17.65873016
1,IMMU,818,170,17.20647773,598,118,16.48044693,330,61,15.60102302
2,MEDI,15483,3444,18.19622761,8534,1923,18.38959549,4123,834,16.82469235
3,DENT,137,39,22.15909091,98,20,16.94915254,54,11,16.92307692
4,MATH,2420,532,18.02168022,1348,266,16.48079306,512,111,17.81701445
5,ARTS,782,186,19.21487603,353,80,18.47575058,122,19,13.4751773
6,COMP,10982,2491,18.48882951,5503,1154,17.33513595,1921,406,17.44735711
7,BIOC,4660,1061,18.54570879,3431,747,17.87936812,1836,360,16.39344262
8,ENGI,5800,1286,18.14846176,3266,735,18.3704074,1312,257,16.37985978
9,CHEM,4676,1044,18.25174825,3291,735,18.25633383,1699,345,16.87866928
10,MATE,1495,337,18.39519651,1035,220,17.52988048,494,100,16.83501684
11,CENG,2471,594,19.38009788,1724,373,17.78731521,802,183,18.5786802
12,EART,1383,294,17.5313059,901,186,17.11131555,414,80,16.19433198
13,VETE,406,84,17.14285714,325,60,15.58441558,176,27,13.30049261
14,PHAR,2404,546,18.50847458,1777,400,18.37390905,979,191,16.32478632
15,ENVI,1551,316,16.92554901,1181,269,18.55172414,615,139,18.43501326
16,ENER,1524,352,18.76332623,1033,193,15.74225122,406,76,15.76763485
17,BUSI,2015,509,20.16640254,1079,220,16.9361047,416,100,19.37984496
18,PHYS,2602,653,20.06144393,1369,306,18.26865672,625,110,14.96598639
19,SOCI,1230,281,18.59695566,535,88,14.12520064,159,32,16.7539267
20,ECON,583,138,19.14008322,328,75,18.61042184,119,30,20.13422819
21,MULT,1478,332,18.34254144,896,192,17.64705882,360,67,15.69086651
22,HEAL,203,41,16.80327869,149,28,15.81920904,76,10,11.62790698
23,NURS,790,175,18.13471503,199,52,20.71713147,61,17,21.79487179
24,PSYC,258,61,19.12225705,108,22,16.92307692,32,9,21.95121951
25,DECI,298,53,15.0997151,164,25,13.22751323,48,21,30.43478261
26,undefined,2,0,0,0,1,100,1,1,50
27,NEUR,74,16,17.77777778,56,9,13.84615385,30,5,14.28571429
