,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,CENG,3,0,0.0,7,1,12.5,6,1,14.285714285714285
1,AGRI,15,0,0.0,9,1,10.0,7,0,0.0
2,MATE,2,0,0.0,1,0,0.0,0,1,100.0
3,PHYS,2,0,0.0,2,0,0.0,0,0,
4,COMP,29,10,25.64102564102564,17,1,5.555555555555555,4,1,20.0
5,ENGI,11,3,21.428571428571427,10,2,16.666666666666664,4,1,20.0
6,CHEM,12,1,7.6923076923076925,9,3,25.0,10,3,23.076923076923077
7,BUSI,4,3,42.857142857142854,6,1,14.285714285714285,2,0,0.0
8,PHAR,0,0,,1,0,0.0,0,0,
9,ENVI,9,0,0.0,6,0,0.0,4,0,0.0
10,MATH,5,2,28.57142857142857,3,2,40.0,1,0,0.0
11,ENER,3,0,0.0,3,0,0.0,1,1,50.0
12,ECON,0,1,100.0,1,1,50.0,1,0,0.0
13,EART,3,0,0.0,1,0,0.0,0,1,100.0
14,BIOC,0,0,,0,0,,0,1,100.0
15,MEDI,0,0,,0,0,,0,0,
