,1st Authorship,,,2nd Authorship,,,3rd Authorship,,
Subject,Male ,female,Proportion (%),Male 2,female2,Proportion2 (%),Male 3,female3,Proportion3 (%)
AGRI,18155,3992,18.02501467,11008,2396,17.87526112,4949,1034,17.28229985
CHEM,7981,1713,17.67072416,4589,1001,17.90697674,2090,435,17.22772277
IMMU,1155,244,17.44102931,749,145,16.21923937,397,72,15.35181237
MEDI,25567,5708,18.2509992,11568,2610,18.40880237,5265,1051,16.64027866
DENT,171,48,21.91780822,119,26,17.93103448,64,14,17.94871795
MATH,3178,693,17.90235081,1570,311,16.53375864,556,119,17.62962963
ENGI,7769,1723,18.15212811,3850,857,18.20692586,1437,278,16.20991254
ARTS,1007,262,20.64617809,399,92,18.73727088,129,22,14.56953642
COMP,13656,3119,18.59314456,6402,1312,17.00803733,2105,454,17.7413052
BIOC,6437,1473,18.62199747,4129,914,18.12413246,2077,424,16.95321871
VETE,568,120,17.44186047,424,78,15.53784861,211,38,15.26104418
PHYS,3949,973,19.76838683,1864,412,18.10193322,745,132,15.05131129
ENER,1864,429,18.7091147,1154,217,15.82786287,434,80,15.56420233
PHAR,3025,675,18.24324324,1997,460,18.72201872,1060,204,16.13924051
MATE,1863,413,18.14586995,1149,248,17.75232641,522,107,17.01112878
CENG,3025,714,19.09601498,1920,417,17.84338896,862,194,18.37121212
EART,1909,425,18.20908312,1047,209,16.64012739,455,95,17.27272727
ENVI,2051,432,17.3983085,1376,314,18.57988166,671,149,18.17073171
BUSI,2268,553,19.60297767,1163,241,17.16524217,431,104,19.43925234
SOCI,2404,522,17.84005468,835,148,15.05595117,225,52,18.77256318
ECON,790,180,18.55670103,400,85,17.5257732,139,31,18.23529412
MULT,2272,498,17.97833935,1117,235,17.3816568,398,79,16.56184486
DECI,359,72,16.70533643,186,32,14.67889908,54,24,30.76923077
HEAL,281,52,15.61561562,183,30,14.08450704,91,13,12.5
NURS,901,212,19.04761905,227,60,20.90592334,71,19,21.11111111
PSYC,312,71,18.53785901,130,24,15.58441558,36,13,26.53061224
undefined,79,20,20.2020202,37,9,19.56521739,11,3,21.42857143
NEUR,114,23,16.78832117,77,13,14.44444444,39,6,13.33333333
