,Subject,# of papers,1970Male (1),1970female1 (1),1970Proportion1 (1),1970Male (2),1970female (2),1970Proportion (2),1970Male (3),1970female (3),1970Proportion (3)
0,MEDI,352,275,58,17.42,232,140,0.2,217,135,38.35
1,CHEM,101,57,17,22.97,86,31,0.14,72,29,28.71
2,BIOC,155,115,16,12.21,146,29,0.09,128,26,16.88
3,EART,23,18,2,10.0,17,9,0.18,15,8,34.78
4,AGRI,254,184,31,14.42,184,91,0.17,170,84,33.07
5,PHYS,113,64,23,26.44,109,34,0.13,87,26,23.01
6,MATH,46,31,6,16.22,23,30,0.3,18,28,60.87
7,CENG,26,16,6,27.27,22,7,0.13,19,7,26.92
8,ENGI,63,47,5,9.62,53,21,0.15,44,19,30.16
9,undefined,13,6,3,33.33,8,7,0.25,6,7,53.85
10,MATE,13,8,3,27.27,9,5,0.19,8,5,38.46
11,ENER,20,12,7,36.84,14,11,0.23,11,9,45.0
12,PHAR,7,3,3,50.0,6,1,0.08,6,1,14.29
13,IMMU,20,16,2,11.11,19,3,0.07,17,3,15.0
14,MULT,13,5,0,0.0,13,2,0.07,12,1,7.69
15,ARTS,18,7,4,36.36,5,16,0.4,2,16,88.89
16,SOCI,17,11,4,26.67,4,14,0.41,3,14,82.35
17,VETE,1,1,0,0.0,1,0,0.0,1,0,0.0
18,ENVI,4,4,0,0.0,2,2,0.26,2,2,50.0
19,PSYC,2,1,0,0.0,2,1,0.18,2,0,0.0
20,HEAL,3,1,1,50.0,4,0,0.0,3,0,0.0
21,COMP,3,3,0,0.0,1,2,0.35,1,2,66.67
22,BUSI,1,0,0,,1,1,0.26,1,0,0.0
23,DENT,1,1,0,0.0,0,1,0.53,0,1,100.0
24,DECI,1,1,0,0.0,0,1,0.53,0,1,100.0
25,NEUR,1,0,1,100.0,1,0,0.0,1,0,0.0
