,Subject,# of papers,1970Male (1),1970female1 (1),1970Proportion1 (1),1970Male (2),1970female (2),1970Proportion (2),1970Male (3),1970female (3),1970Proportion (3),1980Male (1),1980female1 (1),1980Proportion1 (1),1980Male (2),1980female (2),1980Proportion (2),1980Male (3),1980female (3),1980Proportion (3)
0,ENER,30,275,58,17.42,232,140,0.2,217,135,38.35,21,6,22.22,18,13,0.22,17,13,43.33
1,MEDI,483,57,17,22.97,86,31,0.14,72,29,28.71,348,92,20.91,323,205,0.2,286,195,40.54
2,BIOC,232,115,16,12.21,146,29,0.09,128,26,16.88,156,26,14.29,208,47,0.1,182,38,17.27
3,MATE,76,18,2,10.0,17,9,0.18,15,8,34.78,64,4,5.88,80,14,0.08,67,9,11.84
4,ENVI,34,184,31,14.42,184,91,0.17,170,84,33.07,27,4,12.9,28,13,0.17,23,11,32.35
5,CHEM,188,64,23,26.44,109,34,0.13,87,26,23.01,131,36,21.56,163,45,0.11,147,40,21.39
6,PHYS,196,31,6,16.22,23,30,0.3,18,28,60.87,120,34,22.08,188,53,0.12,148,46,23.71
7,AGRI,413,16,6,27.27,22,7,0.13,19,7,26.92,286,58,16.86,373,94,0.11,331,80,19.46
8,CENG,46,47,5,9.62,53,21,0.15,44,19,30.16,28,6,17.65,43,8,0.08,38,8,17.39
9,MATH,57,6,3,33.33,8,7,0.25,6,7,53.85,39,8,17.02,40,30,0.23,29,28,49.12
10,ARTS,34,8,3,27.27,9,5,0.19,8,5,38.46,22,3,12.0,8,30,0.42,5,29,85.29
11,ENGI,182,12,7,36.84,14,11,0.23,11,9,45.0,124,39,23.93,165,52,0.13,140,42,23.08
12,PHAR,57,3,3,50.0,6,1,0.08,6,1,14.29,43,14,24.56,49,9,0.08,48,9,15.79
13,EART,165,16,2,11.11,19,3,0.07,17,3,15.0,122,27,18.12,118,62,0.18,106,59,35.76
14,undefined,35,5,0,0.0,13,2,0.07,12,1,7.69,28,5,15.15,54,8,0.07,29,5,14.71
15,MULT,61,7,4,36.36,5,16,0.4,2,16,88.89,45,12,21.05,54,10,0.08,51,10,16.39
16,SOCI,65,11,4,26.67,4,14,0.41,3,14,82.35,50,10,16.67,12,56,0.43,10,55,84.62
17,IMMU,43,1,0,0.0,1,0,0.0,1,0,0.0,26,5,16.13,41,8,0.09,35,7,16.67
18,ECON,24,4,0,0.0,2,2,0.26,2,2,50.0,14,7,33.33,10,17,0.33,7,17,70.83
19,BUSI,8,1,0,0.0,2,1,0.18,2,0,0.0,7,0,0.0,5,4,0.23,4,4,50.0
20,COMP,14,1,1,50.0,4,0,0.0,3,0,0.0,10,2,16.67,5,9,0.34,5,9,64.29
21,NEUR,2,3,0,0.0,1,2,0.35,1,2,66.67,1,0,0.0,1,1,0.26,1,1,50.0
22,PSYC,3,0,0,,1,1,0.26,1,0,0.0,2,0,0.0,3,1,0.13,2,1,33.33
23,DECI,2,1,0,0.0,0,1,0.53,0,1,100.0,1,1,50.0,1,1,0.26,1,1,50.0
24,VETE,4,1,0,0.0,0,1,0.53,0,1,100.0,4,0,0.0,4,0,0.0,4,0,0.0
25,HEAL,2,0,1,100.0,1,0,0.0,1,0,0.0,2,0,0.0,0,2,0.53,0,2,100.0
