,Subject,# of papers,2000Male (1),2000female1 (1),2000Proportion1 (1),2000Male (2),2000female (2),2000Proportion (2),2000Male (3),2000female (3),2000Proportion (3),,,,,,,,,,,,
0,CHEM,2768,1967,371,15.87,3465,702,0.09,2330,405,14.81,,,,,,,,,,,,
1,AGRI,4908,3393,752,18.14,6280,1356,0.09,4113,780,15.94,,,,,,,,,,,,
2,MEDI,8750,6165,1400,18.51,9856,3175,0.13,6485,2258,25.83,,,,,,,,,,,,
3,VETE,110,80,17,17.53,177,27,0.07,102,8,7.27,,,,,,,,,,,,
4,ENGI,1921,1205,235,16.32,2097,425,0.09,1623,295,15.38,,,,,,,,,,,,
5,ENVI,477,272,68,20,560,125,0.1,395,78,16.49,,,,,,,,,,,,
6,COMP,3001,1922,483,20.08,3351,637,0.08,2565,428,14.3,,,,,,,,,,,,
7,IMMU,246,130,41,23.98,319,72,0.1,200,44,18.03,,,,Subject,Male,Female,,,,Subject,Male,Female
8,BIOC,1531,873,198,18.49,1914,496,0.11,1225,296,19.46,,,,CHEM,3465,702,0.09,17.93514672,,MATH,725,224
9,EART,412,201,61,23.28,445,107,0.1,326,80,19.7,,,,AGRI,6280,1356,0.09,17.20647773,,,,
10,CENG,473,283,57,16.76,542,116,0.09,398,72,15.32,,,,MEDI,9856,3175,0.13,18.19622761,,Subject,Female,Male
11,ENER,323,166,37,18.23,373,69,0.08,283,40,12.38,,,,VETE,177,27,0.07,22.15909091,,Chemistry,9,91
12,MATH,761,431,89,17.12,725,224,0.12,570,185,24.5,,,,ENGI,2097,425,0.09,18.02168022,,,,
13,SOCI,956,719,141,16.4,643,632,0.26,394,561,58.74,,,,ENVI,560,125,0.1,19.21487603,,,,
14,MULT,596,427,90,17.41,623,177,0.12,467,129,21.64,,,,COMP,3351,637,0.08,18.48882951,,,,
15,PHYS,1131,662,159,19.37,1308,298,0.1,940,186,16.52,,,,IMMU,319,72,0.1,18.54570879,,,,
16,DENT,50,22,5,18.52,60,15,0.11,39,7,15.22,,,,BIOC,1914,496,0.11,18.14846176,,,,
17,MATE,278,164,39,19.21,341,46,0.06,259,18,6.5,,,,EART,445,107,0.1,18.25174825,,,,
18,BUSI,215,138,28,16.87,180,110,0.2,123,91,42.52,,,,CENG,542,116,0.09,18.39519651,,,,
19,ARTS,167,114,29,20.28,97,109,0.28,69,98,58.68,,,,ENER,373,69,0.08,19.38009788,,,,
20,PHAR,461,330,66,16.67,575,132,0.1,385,76,16.49,,,,MATH,725,224,0.12,17.5313059,,,,
21,ECON,153,89,17,16.04,112,77,0.21,85,68,44.44,,,,SOCI,643,632,0.26,17.14285714,,,,
22,DECI,45,25,10,28.57,41,20,0.17,31,14,31.11,,,,MULT,623,177,0.12,18.50847458,,,,
23,NURS,113,74,25,25.25,96,49,0.18,71,42,37.17,,,,PHYS,1308,298,0.1,16.92554901,,,,
24,HEAL,59,45,5,10,81,17,0.09,46,13,22.03,,,,DENT,60,15,0.11,18.76332623,,,,
25,NEUR,51,30,4,11.76,68,14,0.09,46,5,9.8,,,,MATE,341,46,0.06,20.16640254,,,,
26,PSYC,26,17,4,19.05,19,21,0.28,9,17,65.38,,,,BUSI,180,110,0.2,20.06144393,,,,
,,,,,,,,,,,,,,,ARTS,97,109,0.28,18.59695566,,,,
,,,,,,,,,,,,,,,PHAR,575,132,0.1,19.14008322,,,,
,,,,CHEM,15.87,0.09,14.81,,,,,,,,ECON,112,77,0.21,18.34254144,,,,
,,,,AGRI,18.14,0.09,15.94,,,,,,,,DECI,41,20,0.17,16.80327869,,,,
,,,,MEDI,18.51,0.13,25.83,,,,,,,,NURS,96,49,0.18,18.13471503,,,,
,,,,VETE,17.53,0.07,7.27,,,,,,,,HEAL,81,17,0.09,19.12225705,,,,
,,,,ENGI,16.32,0.09,15.38,,,,,,,,NEUR,68,14,0.09,15.0997151,,,,
,,,,ENVI,20,0.1,16.49,,,,,,,,PSYC,19,21,0.28,0,,,,
,,,,COMP,20.08,0.08,14.3,,,,,,,,,,,,17.77777778,,,,
,,,,IMMU,23.98,0.1,18.03,,,,,,,,,,,,,,,,
,,,,BIOC,18.49,0.11,19.46,,,,,,,,,,,,,,,,
,,,,EART,23.28,0.1,19.7,,,,,,,,,,,,,,,,
,,,,CENG,16.76,0.09,15.32,,,,,,,,,,,,,,,,
,,,,ENER,18.23,0.08,12.38,,,,,,,,,,,,,,,,
,,,,MATH,17.12,0.12,24.5,,,,,,,,,,,,,,,,
,,,,SOCI,16.4,0.26,58.74,,,,,,,,,,,,,,,,
,,,,MULT,17.41,0.12,21.64,,,,,,,,,,,,,,,,
,,,,PHYS,19.37,0.1,16.52,,,,,,,,,,,,,,,,
,,,,DENT,18.52,0.11,15.22,,,,,,,,,,,,,,,,
,,,,MATE,19.21,0.06,6.5,,,,,,,,,,,,,,,,
,,,,BUSI,16.87,0.2,42.52,,,,,,,,,,,,,,,,
,,,,ARTS,20.28,0.28,58.68,,,,,,,,,,,,,,,,
,,,,PHAR,16.67,0.1,16.49,,,,,,,,,,,,,,,,
,,,,ECON,16.04,0.21,44.44,,,,,,,,,,,,,,,,
,,,,DECI,28.57,0.17,31.11,,,,,,,,,,,,,,,,
,,,,NURS,25.25,0.18,37.17,,,,,,,,,,,,,,,,
,,,,HEAL,10,0.09,22.03,,,,,,,,,,,,,,,,
,,,,NEUR,11.76,0.09,9.8,,,,,,,,,,,,,,,,
,,,,PSYC,19.05,0.28,65.38,,,,,,,,,,,,,,,,
