,Subject,# of papers,2010Male (1),2010female1 (1),2010Proportion1 (1),2010Male (2),2010female (2),2010Proportion (2),2010Male (3),2010female (3),2010Proportion (3)
0,AGRI,19785,12249,2677,17.94,31463,6958,11.99,16561,3068,15.63
1,IMMU,1519,818,170,17.21,2327,585,13.25,1181,323,21.48
2,MEDI,23051,15483,3444,18.2,31285,10136,15.74,16642,6333,27.56
3,DENT,278,137,39,22.16,403,96,12.39,220,56,20.29
4,MATH,4434,2420,532,18.02,5545,1310,11.77,3482,793,18.55
5,ARTS,1248,782,186,19.21,1156,744,23.65,630,616,49.44
6,COMP,18158,10982,2491,18.49,23788,4558,9.82,15680,2395,13.25
7,BIOC,8977,4660,1061,18.55,13512,3399,13.19,7092,1768,19.95
8,ENGI,10176,5800,1286,18.15,13934,2691,10.06,8798,1317,13.02
9,CHEM,8060,4676,1044,18.25,12585,2798,11.99,6686,1268,15.94
10,MATE,2677,1495,337,18.4,4172,726,9.61,2385,275,10.34
11,CENG,4940,2471,594,19.38,7099,1508,11.18,4165,717,14.69
12,EART,2752,1383,294,17.53,3766,880,11.93,2227,501,18.37
13,VETE,590,406,84,17.14,1100,207,10.94,510,76,12.97
14,PHAR,3484,2404,546,18.51,6003,1697,15.22,2640,813,23.54
15,ENVI,3033,1551,316,16.93,4658,1180,13.35,2416,586,19.52
16,ENER,2982,1524,352,18.76,4232,771,9.68,2582,382,12.89
17,BUSI,3600,2015,509,20.17,4354,1316,14.21,2706,882,24.58
18,PHYS,4493,2602,653,20.06,5981,1250,10.69,3779,682,15.29
19,SOCI,1854,1230,281,18.6,1732,1019,22.14,994,857,46.3
20,ECON,1090,583,138,19.14,1257,463,16.54,756,323,29.94
21,MULT,2475,1478,332,18.34,3430,808,12.06,2007,457,18.55
22,HEAL,379,203,41,16.8,557,155,14.25,278,98,26.06
23,NURS,1043,790,175,18.13,949,469,19.07,667,374,35.93
24,PSYC,431,258,61,19.12,374,262,24.58,221,209,48.6
25,DECI,470,298,53,15.1,605,150,12.3,371,94,20.22
26,undefined,4,2,0,0.0,4,3,27.27,3,1,25.0
27,NEUR,182,74,16,17.78,239,72,14.66,131,49,27.22
