,name,gender,Test
0,[Iqbal M.Z.,male,1
1,[Akkurt M.,male,1
2,[Ban R.,male,1
3,[Nisar B.,male,1
4,[Azhar A.,female,0
5,[Ambreen A.,female,1
6,[Iqbal J.,female,0
7,[Adnan S.,female,0
8,[Nadir S.,male,1
9,[Bischof R.,female,1
10,[Abbas S.,male,1
11,[Al-Said E.,male,1
12,[Dilshad E.,female,1
13,[Rome S.I.],male,1
14,[Abbasi N.A.,male,1
15,[Mastoi Z.A.,male,1
16,[Abdullah S.,male,1
17,[Baig A.M.],male,1
18,[Qureshi R.A.,male,1
19,[Lashari M.A.,male,1
20,[Afridi F.,male,1
21,[Khurram A.A.,male,1
22,[Aamir M.,male,1
23,[Bilal G.,male,1
24,[Ahmad M.,male,1
25,[Shaukat K.,male,1
26,[Abro R.S.,male,1
27,[Miana G.A.,male,1
28,[Ahmad I.,male,1
29,[Abdel Hay R.,female,0
30,[Animasaun I.L.,male,1
31,[Ahmad M.,male,1
32,[Datta A.,male,1
33,[Aslam R.M.T.,male,1
34,[Manzoor S.,male,1
35,[Chaudhary N.,female,0
36,[Ahmad M.,male,1
37,[Abbasi S.A.,male,1
38,[Ahmad Z.,female,0
39,[Hussain S.S.,male,1
40,[Akhter S.,male,1
41,[Clark A.F.,female,0
42,[Ali E.S.,male,1
43,[Abdullah S.,male,1
44,[Gu Y.T.,male,1
45,[Bechtold I.H.,male,1
46,[Atta-Ur-Rahman,male,1
47,[Ali U.,male,1
48,[Bakhsh M.,male,1
49,[Basharat F.,male,1
50,[Anwer J.,male,1
51,[Asif M.,female,0
52,[Anwar M.,male,1
53,[Ahmad N.,male,1
54,[Abbas K.,female,0
55,[Arshad S.N.,male,1
56,[Kamal R.,male,1
57,[Dilara B.,male,1
58,[Imran M.,male,1
59,[Ansari M.T.,male,1
60,[Ajaz M.,female,0
61,[Ahmed A.,male,1
62,[Ahmed I.,male,1
63,[Asghar M.,male,1
64,[Budiman R.,male,1
65,[Ahmed S.,female,0
66,[Azam H.U.D.,male,1
67,[McCleer P.J.,male,1
68,[Bashir E.,male,1
69,[Abubakar A.,male,1
70,[Asif A.,female,0
71,[Badshah N.,male,1
72,[Adeel M.,male,1
73,[Ashraf I.,female,1
74,[Javeed T.,male,1
75,[Jamil S.,female,0
76,[Ali S.B.,female,0
77,[Ali T.,male,1
78,[Ahmad N.,female,1
79,[Ali M.,male,1
80,[Ahmad I.,male,1
81,[Ahmed J.,male,1
82,[Ali R.,male,1
83,[Irshad H.,female,0
84,[Muhammad A.J.,male,1
85,[Abbas A.,male,1
86,[Khan A.,male,1
87,[Baker L.A.,male,1
88,[Lucky De Marco Y.N.,female,1
89,[Bhatti H.N.,female,0
90,[Ahmad J.,male,1
91,[Ali I.,male,1
92,[Akhtar N.,male,1
93,[Ahmad A.,male,1
94,[Arshad J.,female,0
95,[Cao J.,male,1
96,[Asif A.H.,male,1
97,[Haq F.,male,1
98,[Aljohani N.R.,male,1
99,[Afzal I.,male,1
,,,83
