,Subject,Year,Proportion
0,AGRI,1997,12.23
1,AGRI,2015,13.3
2,AGRI,2012,12.5
3,AGRI,2020,13.59
4,AGRI,2008,12.21
5,AGRI,2017,12.74
6,AGRI,2014,12.76
7,AGRI,2005,11.25
8,AGRI,2010,12.69
9,AGRI,2018,13.17
10,AGRI,2011,11.92
11,AGRI,2009,12.31
12,AGRI,2000,9.12
13,AGRI,1970,12.5
14,AGRI,1996,10.76
15,AGRI,1995,9.93
16,AGRI,1980,8.77
17,AGRI,2016,13.17
18,AGRI,2013,11.76
19,AGRI,2007,12.6
20,AGRI,2006,10.53
21,AGRI,2019,13.73
22,AGRI,2003,10.78
23,AGRI,2001,8.71
24,AGRI,1998,10.81
25,AGRI,1973,11.48
26,AGRI,1993,11.01
27,AGRI,1978,9.46
28,AGRI,1981,6.9
29,AGRI,2021,4.88
30,AGRI,1971,8.33
31,AGRI,1999,12.76
32,AGRI,1991,12.6
33,AGRI,1989,9.85
34,AGRI,2004,12.69
35,AGRI,1968,8.57
36,AGRI,2002,10.36
37,AGRI,1954,0.0
38,AGRI,1977,6.67
39,AGRI,1952,20.0
40,AGRI,1953,0.0
41,AGRI,1990,13.82
42,AGRI,1969,7.69
43,AGRI,1994,8.23
44,AGRI,1975,8.7
46,AGRI,1982,10.2
47,AGRI,1979,2.22
48,AGRI,1988,9.84
49,AGRI,1955,21.43
50,AGRI,1986,14.29
51,AGRI,1965,0.0
52,AGRI,1985,8.86
53,AGRI,1963,0.0
54,AGRI,1992,11.22
55,AGRI,1974,10.87
56,AGRI,1957,30.0
57,AGRI,1984,6.49
58,AGRI,1987,8.41
59,AGRI,1964,0.0
60,AGRI,1956,0.0
61,AGRI,1976,7.81
63,AGRI,1958,0.0
66,AGRI,1960,12.5
67,AGRI,1962,3.12
68,AGRI,1951,20.0
69,AGRI,1959,7.69
70,AGRI,1972,10.0
71,AGRI,1983,15.62
74,AGRI,1967,10.34
75,AGRI,1961,8.33
79,AGRI,1949,0.0
84,AGRI,1948,0.0
87,AGRI,1966,0.0
95,CHEM,2009,10.52
96,CHEM,2010,12.17
97,CHEM,2018,12.78
98,CHEM,2011,13.72
99,CHEM,2017,12.97
100,CHEM,2013,13.54
101,CHEM,2020,11.92
102,CHEM,2007,11.02
103,CHEM,2016,13.51
104,CHEM,1972,8.0
106,CHEM,1998,11.27
107,CHEM,2014,11.69
108,CHEM,2019,13.32
109,CHEM,2004,9.09
110,CHEM,1999,10.37
111,CHEM,1995,12.5
113,CHEM,1983,9.09
114,CHEM,2012,11.23
115,CHEM,2005,10.02
116,CHEM,2003,11.18
117,CHEM,1994,7.25
118,CHEM,2015,13.16
119,CHEM,2006,9.41
120,CHEM,1989,9.84
121,CHEM,2008,11.28
123,CHEM,1973,22.73
124,CHEM,1988,11.43
125,CHEM,1981,15.38
128,CHEM,1987,13.7
129,CHEM,1969,17.07
130,CHEM,2002,11.9
131,CHEM,1971,6.25
132,CHEM,1976,4.55
133,CHEM,2000,12.07
134,CHEM,1968,5.71
135,CHEM,1982,17.39
136,CHEM,1992,8.86
137,CHEM,1966,12.0
138,CHEM,1984,3.03
139,CHEM,1996,9.39
140,CHEM,1951,16.67
141,CHEM,2021,10.53
142,CHEM,1993,9.62
143,CHEM,1962,25.0
144,CHEM,1997,6.09
145,CHEM,2001,8.92
147,CHEM,1980,15.38
148,CHEM,1991,20.0
149,CHEM,1990,11.54
150,CHEM,1978,16.0
151,CHEM,1985,8.7
152,CHEM,1975,11.54
153,CHEM,1953,16.67
156,CHEM,1954,50.0
157,CHEM,1970,17.86
158,CHEM,1958,0.0
159,CHEM,1964,16.67
162,CHEM,1979,12.5
163,CHEM,1977,7.14
164,CHEM,1952,0.0
166,CHEM,1963,0.0
167,CHEM,1948,0.0
169,CHEM,1967,11.11
171,CHEM,1986,16.22
173,CHEM,1974,25.0
177,CHEM,1965,15.38
179,CHEM,1957,0.0
180,CHEM,1949,0.0
185,CHEM,1956,0.0
